,0
,0
3.558185456,0.355818546
3.664188726,0.722237418
3.374569763,1.059694395
3.634548545,1.423149249
3.529460427,1.776095292
3.536057499,2.129701042
3.658497873,2.495550829
3.451350308,2.84068586
3.346251054,3.175310965
3.535755941,3.528886559
3.600538368,3.888940396
3.606445691,4.249584965
3.538927653,4.603477731
3.534904136,4.956968144
3.434338242,5.300401968
3.480538968,5.648455865
3.522179374,6.000673803
3.363916909,6.337065494
3.578475676,6.694913061
3.575920765,7.052505138
3.579150364,7.410420174
3.403242088,7.750744383
3.511314518,8.101875835
3.541697401,8.456045575
3.559185714,8.811964146
3.376179785,9.149582125
3.477593697,9.497341494
3.607238535,9.858065348
3.414479899,10.19951334
3.659539312,10.56546727
3.304214516,10.89588872
3.421308432,11.23801956
3.503129501,11.58833251
3.434428783,11.93177539
3.375591832,12.26933458
3.314691913,12.60080377
3.70069178,12.97087294
3.465703995,13.31744334
3.553014448,13.67274479
3.602813379,14.03302613
3.548404081,14.38786654
3.653584686,14.753225
3.486281039,15.10185311
3.502726207,15.45212573
3.728330329,15.82495876
3.724004014,16.19735916
0.182057965,16.21556496
-0.114611473,16.20410381
0.077261365,16.21182995
0.094560389,16.22128599
0.022537947,16.22353978
-0.08697464,16.21484232
0.145299118,16.22937223
0.048252258,16.23419746
-0.101555915,16.22404186
-0.074708942,16.21657097
0.121128326,16.2286838
-0.088424972,16.21984131
2.67E-05,16.21984398
0.147053238,16.2345493
0.032248833,16.23777418
0.148125699,16.25258675
0.020741908,16.25466094
0.049226415,16.25958358
-0.005843027,16.25899928
0.016900619,16.26068934
0.19525375,16.28021472
-0.057851648,16.27442955
0.063385919,16.28076815
-0.024106128,16.27835753
-0.061827469,16.27217479
0.104303263,16.28260511
0.023685083,16.28497362
-0.034828602,16.28149076
-0.175138385,16.26397692
0.129604703,16.27693739
-0.118596334,16.26507776
-0.135076761,16.25157008
-0.038042948,16.24776579
0.132818507,16.26104764
0.048058819,16.26585352
-0.01647419,16.2642061
0.092879315,16.27349403
0.013551332,16.27484917
-0.041500321,16.27069913
0.001305921,16.27082973
0.067384118,16.27756814
-0.113111723,16.26625697
-0.053346651,16.2609223
-0.01617414,16.25930489
0.037482391,16.26305313
0.063739383,16.26942706
-0.022896291,16.26713743
-0.085855083,16.25855193
-0.068725984,16.25167933
0.030350289,16.25471436
0.08258033,16.26297239
0.002615624,16.26323395
-0.124245041,16.25080945
-0.093757688,16.24143368
3.521514693,16.59358515
3.511841905,16.94476934
3.411044187,17.28587376
3.436823717,17.62955613
3.678033369,17.99735947
3.57123384,18.35448285
3.683883573,18.72287121
3.405235694,19.06339478
3.567885196,19.4201833
3.486966058,19.7688799
3.540719304,20.12295183
3.47221433,20.47017327
3.583385394,20.82851181
3.547038414,21.18321565
3.54115794,21.53733144
-0.131698173,21.52416162
0.148361023,21.53899773
-0.010028979,21.53799483
0.05116066,21.54311089
0.121757715,21.55528667
0.024872256,21.55777389
-0.042453267,21.55352856
0.08949939,21.5624785
0.062641117,21.56874261
-0.080215884,21.56072103
-0.072189254,21.5535021
-0.067929364,21.54670916
0.104228856,21.55713205
0.053228854,21.56245494
0.057513394,21.56820628
0.199666606,21.58817294
0.099562719,21.59812921
-0.107299357,21.58739927
0.158675999,21.60326687
-0.12678216,21.59058866
-0.132762496,21.57731241
0.004951991,21.57780761
0.004139668,21.57822157
0.119389775,21.59016055
-0.028281333,21.58733242
-0.032286208,21.5841038
0.005863895,21.58469019
0.113709504,21.59606114
0.136747143,21.60973585
-0.11736476,21.59799937
0.023338654,21.60033324
0.131207922,21.61345403
0.014236548,21.61487769
-0.056705862,21.6092071
-0.065340733,21.60267303
0.043077811,21.60698081
-0.141371232,21.59284368
-0.04351764,21.58849192
0.015854423,21.59007736
0.005830487,21.59066041
0.142649767,21.60492539
0.043780431,21.60930343
-0.139075788,21.59539585
-0.044398921,21.59095596
0.203568018,21.61131276
0.013604624,21.61267322
-0.008262442,21.61184698
0.044271953,21.61627418
0.024021191,21.61867629
0.010107161,21.61968701
-0.057601531,21.61392686
0.038931579,21.61782002
-0.001328031,21.61768721
-0.023778565,21.61530936
-0.058237927,21.60948556
0.017505777,21.61123614
0.017421783,21.61297832
-0.015823287,21.61139599
-0.057119036,21.60568409
-0.086112217,21.59707287
-0.081802662,21.5888926
-0.027208929,21.58617171
